Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3",0603,2,10uF,C19702
"C10, C11, C12, C13, C14, C2, C4, C9",0402,8,100nF,C1525
"C5, C6",0603,2,20pF,C1648
"LED1",0805,2,green,C2297
"LED2",0805,2,red,C84256
"R1, R2",0603,2,330,C23138
"R10, R11, R5",0603,3,1.5k,C22843
"R12, R13, R14, R15, R16",0805,5,0,C17477
"R17, R18",0603,2,100k,C25803
"R3, R4",0603,2,22,C23345
R6,0603,1,1M,C22935
"R7, R8, R9",0805,3,100,C17408
SW1,SW_SPST_EVPBF,1,SW_Push,C318884
U1,LQFP-48_7x7mm_P0.5mm,1,STM32F103C8Tx,C8734
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
Y1,Crystal_SMD_5032-2Pin_5.0x3.2mm,1,8MHz,C115962
