Designator,Mid X,Mid Y,Rotation,Layer
C1,12.3125,-14.55,180.0,top
C10,37.1,-13.85,90.0,top
C11,49.03,-19.31,270.0,top
C12,43.25,-22.45,180.0,top
C13,46.1,-9.75,0.0,top
C14,41.1,-22.45,180.0,top
C2,12.785,-16.25,180.0,top
C3,22.4,-20.25,90.0,top
C4,23.7,-20.2,90.0,top
C5,53.75,-26.25,270.0,top
C6,45.75,-26.25,270.0,top
C9,34.7,-26.4,270.0,top
LED1,5.0,-4.75,270.0,top
LED2,38.0,-27.15,90.0,top
R1,12.3,-12.75,0.0,top
R10,34.5,-18.05,180.0,top
R11,25.4,-14.05,180.0,top
R12,129.6,-10.825,270.0,top
R13,132.2,-10.85,270.0,top
R14,134.7,-10.85,270.0,top
R15,137.3,-10.85,270.0,top
R16,19.5,-14.25,0.0,top
R17,34.5,-21.25,180.0,top
R18,34.5,-16.45,180.0,top
R2,36.2,-26.95,270.0,top
R3,34.5,-11.35,0.0,top
R4,34.5,-9.75,0.0,top
R5,34.5,-19.65,0.0,top
R6,49.75,-27.25,180.0,top
R7,126.03,-13.45,180.0,top
R8,126.03,-15.48,180.0,top
R9,126.03,-17.55,180.0,top
SW1,36.1,-33.3,180.0,top
U1,43.5,-16.0,45.0,top
U2,17.75,-20.25,90.0,top
Y1,49.75,-24.5,180.0,top
